,,
,,
,,
,,
"*Data is polled from 7, 9, and 11th graders.",,
,,
,,
"Depression-Related Feelings, by Race/Ethnicity: 2013-2015",,
Race/Ethnicity: All; Student Response: All,,
,,
California,Percent,
,Yes,No
African American/Black,26.4%,73.6%
American Indian/Alaska Native,31.7%,68.3%
Asian,26.6%,73.4%
Hispanic/Latino,32.3%,67.7%
Native Hawaiian/Pacific Islander,40.8%,59.2%
White,27.6%,72.4%
Multiracial,33.5%,66.5%
Other,23.2%,76.8%
,,
Alameda County,Percent,
,Yes,No
African American/Black,27.2%,72.8%
American Indian/Alaska Native,33.1%,66.9%
Asian,25.4%,74.6%
Hispanic/Latino,34.2%,65.8%
Native Hawaiian/Pacific Islander,38.4%,61.6%
White,25.9%,74.1%
Multiracial,30.5%,69.5%
Other,23.9%,76.1%
,,
Alpine County,Percent,
,Yes,No
African American/Black,N/A,N/A
American Indian/Alaska Native,N/A,N/A
Asian,N/A,N/A
Hispanic/Latino,S,S
Native Hawaiian/Pacific Islander,N/A,N/A
White,S,S
Multiracial,S,S
Other,N/A,N/A
,,
Amador County,Percent,
,Yes,No
African American/Black,S,S
American Indian/Alaska Native,31.6%,68.4%
Asian,S,S
Hispanic/Latino,31.6%,68.4%
Native Hawaiian/Pacific Islander,S,S
White,27.2%,72.8%
Multiracial,32.2%,67.8%
Other,23.4%,76.6%
,,
Butte County,Percent,
,Yes,No
African American/Black,30.3%,69.7%
American Indian/Alaska Native,17.0%,83.0%
Asian,22.9%,77.1%
Hispanic/Latino,24.0%,76.0%
Native Hawaiian/Pacific Islander,41.4%,58.6%
White,26.8%,73.2%
Multiracial,29.6%,70.4%
Other,45.5%,54.5%
,,
Calaveras County,Percent,
,Yes,No
African American/Black,48.2%,51.8%
American Indian/Alaska Native,26.0%,74.0%
Asian,27.9%,72.1%
Hispanic/Latino,37.4%,62.6%
Native Hawaiian/Pacific Islander,S,S
White,21.9%,78.1%
Multiracial,16.7%,83.3%
Other,11.6%,88.4%
,,
Colusa County,Percent,
,Yes,No
African American/Black,S,S
American Indian/Alaska Native,S,S
Asian,29.2%,70.8%
Hispanic/Latino,29.1%,70.9%
Native Hawaiian/Pacific Islander,S,S
White,30.4%,69.6%
Multiracial,47.9%,52.1%
Other,36.4%,63.6%
,,
Contra Costa County,Percent,
,Yes,No
African American/Black,31.6%,68.4%
American Indian/Alaska Native,19.2%,80.8%
Asian,24.8%,75.2%
Hispanic/Latino,31.4%,68.6%
Native Hawaiian/Pacific Islander,31.2%,68.8%
White,23.4%,76.6%
Multiracial,28.5%,71.5%
Other,20.2%,79.8%
,,
Del Norte County,Percent,
,Yes,No
African American/Black,S,S
American Indian/Alaska Native,58.8%,41.2%
Asian,43.2%,56.8%
Hispanic/Latino,34.2%,65.8%
Native Hawaiian/Pacific Islander,N/A,N/A
White,26.9%,73.1%
Multiracial,29.2%,70.8%
Other,S,S
,,
El Dorado County,Percent,
,Yes,No
African American/Black,33.9%,66.1%
American Indian/Alaska Native,36.1%,63.9%
Asian,22.8%,77.2%
Hispanic/Latino,32.6%,67.4%
Native Hawaiian/Pacific Islander,37.7%,62.3%
White,27.0%,73.0%
Multiracial,33.5%,66.5%
